¦Titol¦Autor¦Autor_id¦Editorial¦Preu_soci¦Preu_Public¦Tipus_Producte¦EAN¦Ref_Abacus¦Encuadernacio¦Coleccio¦Materia¦Ruta
25¦L'any sense primavera¦Borràs, Jordi¦4000654580¦Ara Llibres¦23,75€¦25,00€¦Libro¦9788417804541¦1341590.35¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas
26¦Cuentos para una nueva realidad¦Ibarrola, Begoña¦A000533078¦Destino¦12,30€¦12,95€¦Libro¦9788408232506¦1339068.07¦Cartoné¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
27¦La simfonia dels animals¦Brown, Dan¦A000536404¦Estrella Polar¦15,15€¦15,95€¦Libro¦9788418134913¦1339281.60¦Cartoné¦Baobab¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
28¦Capitalismo (1679-2065)¦Niño Becerra, Santiago¦A000632659¦Ariel¦19,85€¦20,90€¦Libro¦9788434432956¦1340309.42¦¦¦¦Inicio \ Libros \ Libros de Economía, Empresa y Derecho \ Economía
29¦El futur del català depèn de tu¦Junyent, Carme¦A000500774¦La Campana¦14,15€¦14,90€¦Libro¦9788416863754¦1340613.30¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas
30¦Salva el planeta¦Stilton, Geronimo¦A000502605¦Estrella Polar¦13,25€¦13,95€¦Libro¦9788418135408¦1339264.67¦¦Geronimo Stilton¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
31¦La clau anglesa¦Pladevall, Antoni¦A000631694¦Univers¦19,00€¦20,00€¦Libro¦9788417868635¦1338996.37¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
32¦El follet Oriol i el regne perdut¦Sardà, Òscar¦A000545396¦Barcanova¦12,25€¦12,90€¦Libro¦9788448952143¦1343262.42¦¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 5 años
33¦Felicitat a la feina¦Kondo, Marie¦4000661646¦Ara Llibres¦16,05€¦16,90€¦Libro¦9788417804497¦1341187.00¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología
34¦Educa bonito¦Soto, María¦4000693545¦Vergara¦17,00€¦17,90€¦Libro¦9788417664923¦1340616.67¦Rústico¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología
